,steel cut oatmeal,brown sugar,maple syrup,blueberries,banana,strawberries,dragon fruit,spinach,kale,paneer,nonfat milk,onion,tomatoes,canola oil,broccoli,cream,tomato puree,garlic,green chili peppers,chickpea flour,ghee,fenugreek,bulgur wheat,butternut squash,feta cheese,onion,olive oil,boullion,thyme
"Vitamin E, added',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"Vitamin B-12, added',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"SFA 4:0',",,,,,0,,0,,,,,0,0,,,0.732,,0,0,,,,,,0.714,0,0.001,,
"SFA 6:0',",,,,,0,,0,,,,,0,0,,,0.609,,0,0,,,,,,0.528,0,0,,
"SFA 8:0',",,,,,0,,0,,,,,0,0,,,0.384,,0,0,,,,,,0.503,0,0.001,,
"SFA 10:0',",,,,,0.001,,0,,,,,0,0,,,0.905,,0.002,0,,,,,,1.822,0,0.001,,
"SFA 12:0',",,,,,0.002,,0.001,,,,,0,0,,,1.08,,0,0,,,,,,1.068,0,0.001,,
"SFA 14:0',",,,,,0.002,,0.001,,,,,0.004,0,,,3.4,,0,0,,,,,,2.545,0.004,0.013,,
"SFA 16:0',",,,,,0.102,,0.045,,,,,0.034,0.02,,,9.35,,0.087,0.054,,,,,,4.748,0.034,12.2,,
"SFA 18:0',",,,,,0.005,,0.004,,,,,0.004,0.008,,,3.19,,0,0.009,,,,,,1.371,0.004,2.62,,
"MUFA 18:1',",,,,,0.022,,0.016,,,,,0.013,0.03,,,7.97,,0.011,0.009,,,,,,3.975,0.013,67,,
"PUFA 18:2',",,,,,0.046,,0.038,,,,,0.013,0.08,,,0.749,,0.229,0.058,,,,,,0.326,0.013,8.82,,
"PUFA 18:3',",,,,,0.027,,0.016,,,,,0.004,0.003,,,0.128,,0.02,0.009,,,,,,0.265,0.004,0.638,,
"PUFA 20:4',",,,,,0,,0,,,,,0,0,,,0.058,,0,0,,,,,,0,0,0.013,,
"PUFA 22:6 n-3 (DHA)',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"MUFA 16:1',",,,,,0.01,,0.004,,,,,0,0.001,,,0.656,,0,0,,,,,,0.385,0,1.07,,
"PUFA 18:4',",,,,,0,,0,,,,,0,0,,,0,,0,0,,,,,,0,0,0,,
"MUFA 20:1',",,,,,0,,0,,,,,0,0,,,0.065,,0,0,,,,,,0,0,0.284,,
"PUFA 20:5 n-3 (EPA)',",,,,,0,,0,,,,,0,0,,,0.009,,0,0,,,,,,0,0,0,,
"MUFA 22:1',",,,,,0,,0,,,,,0,0,,,0.003,,0,0,,,,,,0,0,0.001,,
"PUFA 22:5 n-3 (DPA)',",,,,,0,,0,,,,,0,0,,,0.02,,0,0,,,,,,0,0,0,,
"Fatty acids, total monounsaturated',",,,,,0.032,,0.02,,,,,0.013,0.031,57.14,,7.34,,0.011,0.009,,,,,,4.623,0.013,68.4,,
"Fatty acids, total polyunsaturated',",,,,,0.073,,0.053,,,,,0.017,0.083,28.57,,1.57,,0.249,0.067,,,,,,0.591,0.017,9.47,,
"Manganese, Mn',",,,,,,,,,1,,,,,,,,,,,,,1.228,,,0.028,,,,
"Proximates',",,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"Ash',",,,,,,,,,,,,,,,,,,,,,,3.4,,,5.2,,,,
"Carbohydrates',",,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"Minerals',",,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"Vitamins and Other Components',",,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"Lipids',",,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"Phytosterols',",,,,,,,,,,,,,,,,,,,,,,140,,,,,,,
"Amino acids',",,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,
"Tryptophan',",,,,,,,,,,,,,,,,,,,,,,0.391,,,0.2,,,,
"Threonine',",,,,,,,,,,,,,,,,,,,,,,0.898,,,0.637,,,,
"Isoleucine',",,,,,,,,,,,,,,,,,,,,,,1.241,,,0.803,,,,
"Leucine',",,,,,,,,,,,,,,,,,,,,,,1.757,,,1.395,,,,
"Lysine',",,,,,,,,,,,,,,,,,,,,,,1.684,,,1.219,,,,
"Methionine',",,,,,,,,,,,,,,,,,,,,,,0.338,,,0.368,,,,
"Cystine',",,,,,,,,,,,,,,,,,,,,,,0.369,,,0.083,,,,
"Phenylalanine',",,,,,,,,,,,,,,,,,,,,,,1.089,,,0.675,,,,
"Tyrosine',",,,,,,,,,,,,,,,,,,,,,,0.764,,,0.668,,,,
